date,symbol,open,close,volume
2022-01-01 00:00:00,BINANCE_SPOT_AAVE_USDT,253.9,266.4,110355.32400000001
2022-01-02 00:00:00,BINANCE_SPOT_AAVE_USDT,266.3817734228985,265.39087078050784,482490.9691718784
2022-01-03 00:00:00,BINANCE_SPOT_AAVE_USDT,265.3,267.2,251698.30499999996
2022-01-04 00:00:00,BINANCE_SPOT_AAVE_USDT,267.2,252.1,173580.45299999998
2022-01-05 00:00:00,BINANCE_SPOT_AAVE_USDT,252.0,230.3,189611.084
2022-01-06 00:00:00,BINANCE_SPOT_AAVE_USDT,230.1,221.0,222989.252
2022-01-07 00:00:00,BINANCE_SPOT_AAVE_USDT,221.0,211.7,215595.281
2022-01-08 00:00:00,BINANCE_SPOT_AAVE_USDT,211.8,212.3,244685.02399999995
2022-01-09 00:00:00,BINANCE_SPOT_AAVE_USDT,212.3,209.5,125333.898
2022-01-10 00:00:00,BINANCE_SPOT_AAVE_USDT,209.5,199.9,206153.55800000005
2022-01-11 00:00:00,BINANCE_SPOT_AAVE_USDT,199.9,213.3,108686.091
2022-01-12 00:00:00,BINANCE_SPOT_AAVE_USDT,213.2,218.5,104713.621
2022-01-13 00:00:00,BINANCE_SPOT_AAVE_USDT,218.7,209.3,137541.45
2022-01-14 00:00:00,BINANCE_SPOT_AAVE_USDT,209.4,223.9,145344.439
2022-01-15 00:00:00,BINANCE_SPOT_AAVE_USDT,223.8,238.4,182476.099
2022-01-16 00:00:00,BINANCE_SPOT_AAVE_USDT,238.4,242.5,121073.73099999997
2022-01-17 00:00:00,BINANCE_SPOT_AAVE_USDT,242.4,226.6,152661.75199999998
2022-01-18 00:00:00,BINANCE_SPOT_AAVE_USDT,226.6,232.4,219683.61900000004
2022-01-19 00:00:00,BINANCE_SPOT_AAVE_USDT,232.4,210.2,147644.018
2022-01-20 00:00:00,BINANCE_SPOT_AAVE_USDT,210.4,198.4,104323.143
2022-01-21 00:00:00,BINANCE_SPOT_AAVE_USDT,198.3,171.0,295579.022
2022-01-22 00:00:00,BINANCE_SPOT_AAVE_USDT,170.9,146.9,279002.33290000004
2022-01-23 00:00:00,BINANCE_SPOT_AAVE_USDT,147.1,158.4,171594.42100000003
2022-01-24 00:00:00,BINANCE_SPOT_AAVE_USDT,158.5,152.5,250523.71159999998
2022-01-25 00:00:00,BINANCE_SPOT_AAVE_USDT,152.4,151.8,137192.553
2022-01-26 00:00:00,BINANCE_SPOT_AAVE_USDT,151.8,146.5,190789.516
2022-01-27 00:00:00,BINANCE_SPOT_AAVE_USDT,146.4,144.5,124197.20300000001
2022-01-28 00:00:00,BINANCE_SPOT_AAVE_USDT,144.6,149.0,129453.70300000001
2022-01-29 00:00:00,BINANCE_SPOT_AAVE_USDT,149.0,154.0,68369.124
2022-01-30 00:00:00,BINANCE_SPOT_AAVE_USDT,154.0,148.9,61333.87500000001
2022-01-31 00:00:00,BINANCE_SPOT_AAVE_USDT,149.0,157.5,90536.94299999998
2022-02-01 00:00:00,BINANCE_SPOT_AAVE_USDT,157.5,163.7,111355.48099999997
2022-02-02 00:00:00,BINANCE_SPOT_AAVE_USDT,163.8,151.2,94165.14099999997
2022-02-03 00:00:00,BINANCE_SPOT_AAVE_USDT,151.2,153.0,76166.64300000001
2022-02-04 00:00:00,BINANCE_SPOT_AAVE_USDT,153.0,166.8,118649.12899999999
2022-02-05 00:00:00,BINANCE_SPOT_AAVE_USDT,166.8,166.2,100784.207
2022-02-06 00:00:00,BINANCE_SPOT_AAVE_USDT,166.2,173.5,91113.37400000003
2022-02-07 00:00:00,BINANCE_SPOT_AAVE_USDT,173.6,182.1,119090.325
2022-02-08 00:00:00,BINANCE_SPOT_AAVE_USDT,182.3,183.9,154091.74599999998
2022-02-09 00:00:00,BINANCE_SPOT_AAVE_USDT,184.1,188.0,89960.441
2022-02-10 00:00:00,BINANCE_SPOT_AAVE_USDT,188.0,175.4,108341.64099999999
2022-02-11 00:00:00,BINANCE_SPOT_AAVE_USDT,175.3,163.6,83809.80200000003
2022-02-12 00:00:00,BINANCE_SPOT_AAVE_USDT,163.7,162.4,59925.935
2022-02-13 00:00:00,BINANCE_SPOT_AAVE_USDT,162.5,158.1,39191.018000000004
2022-02-14 00:00:00,BINANCE_SPOT_AAVE_USDT,158.1,161.0,50377.874
2022-02-15 00:00:00,BINANCE_SPOT_AAVE_USDT,161.0,172.2,64260.67700000001
2022-02-16 00:00:00,BINANCE_SPOT_AAVE_USDT,172.3,170.5,71443.65900000003
2022-02-17 00:00:00,BINANCE_SPOT_AAVE_USDT,170.4,153.0,112646.89899999998
2022-02-18 00:00:00,BINANCE_SPOT_AAVE_USDT,153.1,145.5,136887.68
2022-02-19 00:00:00,BINANCE_SPOT_AAVE_USDT,145.5,146.2,44043.632999999994
2022-02-20 00:00:00,BINANCE_SPOT_AAVE_USDT,146.2,137.6,57594.73300000001
2022-02-21 00:00:00,BINANCE_SPOT_AAVE_USDT,137.5,128.6,128155.04000000001
2022-02-22 00:00:00,BINANCE_SPOT_AAVE_USDT,128.6,134.7,94375.61299999998
2022-02-23 00:00:00,BINANCE_SPOT_AAVE_USDT,134.7,130.6,94147.824
2022-02-24 00:00:00,BINANCE_SPOT_AAVE_USDT,130.6,125.4,285671.8647
2022-02-25 00:00:00,BINANCE_SPOT_AAVE_USDT,125.4,139.5,214453.16399999996
2022-02-26 00:00:00,BINANCE_SPOT_AAVE_USDT,139.5,136.6,102999.09500000002
2022-02-27 00:00:00,BINANCE_SPOT_AAVE_USDT,136.7,131.6,248248.896
2022-02-28 00:00:00,BINANCE_SPOT_AAVE_USDT,131.6,145.8,221466.15600000002
2022-03-01 00:00:00,BINANCE_SPOT_AAVE_USDT,145.8,143.3,236394.26
2022-03-02 00:00:00,BINANCE_SPOT_AAVE_USDT,143.2,137.7,242506.59199999995
2022-03-03 00:00:00,BINANCE_SPOT_AAVE_USDT,137.7,130.0,204298.206
2022-03-04 00:00:00,BINANCE_SPOT_AAVE_USDT,129.9,124.2,214193.248
2022-03-05 00:00:00,BINANCE_SPOT_AAVE_USDT,124.3,124.6,90706.43900000001
2022-03-06 00:00:00,BINANCE_SPOT_AAVE_USDT,124.6,116.7,123221.74600000003
2022-03-07 00:00:00,BINANCE_SPOT_AAVE_USDT,116.7,116.8,189394.39200000002
